State_UT,Year,PhD_Male,PhD_Female,PhD_Total,MPhil_Male,MPhil_Female,MPhil_Total,PG_Male,PG_Female,PG_Total,UG_Male,UG_Female,UG_Total,PG_Diploma_Male,PG_Diploma_Female,PG_Diploma_Total,Diploma_Male,Diploma_Female,Diploma_Total,Certificate_Male,Certificate_Female,Certificate_Total,Integrated_Male,Integrated_Female,Integrated_Total,Grand_Total_Male,Grand_Total_Female,Grand_Total
Jammu and Kashmir,2021-22,1879.0,1923.0,3802.0,41.0,82.0,123.0,30709.0,41398.0,72107.0,145870.0,147226.0,293096.0,777.0,483.0,1260.0,9080.0,10909.0,19989.0,410.0,489.0,899.0,4188.0,4959.0,9147.0,192954.0,207469.0,400423.0
Jammu and Kashmir,2020-21,2412.0,2033.0,4445.0,117.0,180.0,297.0,29946.0,36342.0,66288.0,141590.0,147415.0,289005.0,1183.0,646.0,1829.0,12879.0,12592.0,25471.0,840.0,769.0,1609.0,4509.0,5401.0,9910.0,193476.0,205378.0,398854.0
Jammu and Kashmir,2019-20,2080.0,1909.0,3989.0,94.0,156.0,250.0,28673.0,34950.0,63623.0,154680.0,147209.0,301889.0,931.0,620.0,1551.0,8951.0,6660.0,15611.0,994.0,1123.0,2117.0,2846.0,3540.0,6386.0,199249.0,196167.0,395416.0
Jharkhand,2023-24,2807.0,1913.0,4720.0,21.0,70.0,91.0,42925.0,62146.0,105071.0,352440.0,371097.0,723537.0,2451.0,1405.0,3856.0,45810.0,30170.0,75980.0,1940.0,963.0,2903.0,3332.0,2365.0,5697.0,451726.0,470129.0,921855.0
Jharkhand,2022-23,1403.0,879.0,2282.0,13.0,66.0,79.0,46427.0,66974.0,113401.0,357852.0,352306.0,710158.0,2335.0,1265.0,3600.0,39069.0,26247.0,65316.0,998.0,533.0,1531.0,2729.0,1684.0,4413.0,450826.0,449954.0,900780.0
Jharkhand,2021-22,2039.0,1113.0,3152.0,14.0,66.0,80.0,48894.0,63574.0,112468.0,362777.0,347379.0,710156.0,2051.0,1087.0,3138.0,31177.0,14953.0,46130.0,906.0,440.0,1346.0,2248.0,1247.0,3495.0,450106.0,429859.0,879965.0
Jharkhand,2020-21,1738.0,919.0,2657.0,18.0,63.0,81.0,42929.0,62500.0,105429.0,314684.0,312130.0,626814.0,2901.0,1184.0,4085.0,28104.0,14712.0,42816.0,1160.0,800.0,1960.0,1815.0,1030.0,2845.0,393349.0,393338.0,786687.0
Jharkhand,2019-20,2469.0,1020.0,3489.0,33.0,74.0,107.0,42783.0,63051.0,105834.0,330828.0,329263.0,660091.0,3061.0,1602.0,4663.0,26918.0,11213.0,38131.0,672.0,1256.0,1928.0,2095.0,1222.0,3317.0,408859.0,408701.0,817560.0
Karnataka,2023-24,9200.0,9101.0,18301.0,38.0,179.0,217.0,141900.7332352208,178386.89987365514,320287.63310887595,1055517.6556390964,1043525.7920722805,2099043.447711377,3760.0,2953.0,6713.0,158801.0,104908.0,263709.0,15991.0,15573.0,31564.0,10212.0,9886.0,20098.0,1395420.3888743175,1364512.6919459356,2759933.080820253
Karnataka,2022-23,5875.0,5791.0,11666.0,53.0,139.0,192.0,133710.0222699205,165748.1682663851,299458.1905363057,1047345.47594226,992910.1747632069,2040255.650705467,4829.0,3667.0,8496.0,152049.0,105031.0,257080.0,1770.0,1253.0,3023.0,9178.0,9015.0,18193.0,1354809.498212181,1283554.343029592,2638363.841241773
